;Station;Measure;R;LB;HB;Samples;Precision;Expected;Simulation;Seed
0;CPU;meanclients;1.4606622626231998;1.4094682267413712;1.5118562985050283;43;0.0350485099751187;1.4748741659982971;1;123456789
1;CPU;meanwaits;65.27665864928102;63.06251379459254;67.49080350396949;43;0.0339193963126184;6.653029723209239;1;123456789
2;IO1;meanclients;1.3581369280099505;1.330952360756967;1.3853214952629336;43;0.0200160725272495;1.348646013508639;1;123456789
3;IO1;meanwaits;93.35230390470552;92.07411697597568;94.63049083343536;43;0.0136920769522156;93.59423771469142;1;123456789
4;IO2;meanclients;11.835581329898972;11.708680608648764;11.962482051149184;43;0.0107219677439615;11.87474874039573;1;123456789
5;IO2;meanwaits;2117.745151641894;2090.7452857341423;2144.745017549646;43;0.0127493461084394;2142.638555798949;1;123456789
6;SWAP_IN;meanclients;0.8786549212788082;0.857349480093419;0.8999603624641973;43;0.0242477913335771;0.8680392814475595;1;123456789
7;SWAP_IN;meanwaits;392.3868964791414;386.0470979446079;398.7266950136749;43;0.0161570087875514;391.5650076137053;1;123456789
8;ActiveTime;cycleTime;6552.016575394239;6236.45530099276;6867.577849795718;43;0.048162465825644;6630.261906963791;1;123456789
9;CPU;meanclients;1.434738496209686;1.386017713751103;1.4834592786682692;40;0.0339579530257913;1.4748741659982971;2;123456790
10;CPU;meanwaits;65.38977658238161;63.29165307701791;67.48790008774532;40;0.032086414956937;6.653029723209239;2;123456790
11;IO1;meanclients;1.3094762174142751;1.2827249547456336;1.3362274800829166;40;0.0204289793986982;1.348646013508639;2;123456790
12;IO1;meanwaits;91.93555420605573;90.53236443502304;93.3387439770884;40;0.0152627542537863;93.59423771469142;2;123456790
13;IO2;meanclients;12.007885090545294;11.87972161039668;12.136048570693909;40;0.0106732766996186;11.87474874039573;2;123456790
14;IO2;meanwaits;2178.781057415801;2150.803106933718;2206.759007897884;40;0.0128411023158366;2142.638555798949;2;123456790
15;SWAP_IN;meanclients;0.8493032509399853;0.8256980781576817;0.8729084237222888;40;0.0277935740339838;0.8680392814475595;2;123456790
16;SWAP_IN;meanwaits;388.3920097451736;379.5585923586696;397.2254271316776;40;0.0227435610539456;391.5650076137053;2;123456790
17;ActiveTime;cycleTime;6984.254281198;6693.573458780181;7274.93510361582;40;0.0416194500822154;6630.261906963791;2;123456790
18;CPU;meanclients;1.49266508671453;1.4552278394419969;1.530102333987063;40;0.0250808085522622;1.4748741659982971;3;123456791
19;CPU;meanwaits;67.04212652286841;65.46188735803197;68.62236568770486;40;0.023570838915699;6.653029723209239;3;123456791
20;IO1;meanclients;1.35258771964321;1.3280416031592088;1.3771338361272114;40;0.0181475228020524;1.348646013508639;3;123456791
21;IO1;meanwaits;93.53457857847576;92.23408957917049;94.83506757778105;40;0.0139038312789764;93.59423771469142;3;123456791
22;IO2;meanclients;11.780866037814244;11.67352908597639;11.888202989652097;40;0.0091111257434999;11.87474874039573;3;123456791
23;IO2;meanwaits;2113.786606473612;2089.000083550969;2138.573129396256;40;0.0117261235579469;2142.638555798949;3;123456791
24;SWAP_IN;meanclients;0.8738800196386198;0.8568147148956291;0.8909453243816106;40;0.0195282010796491;0.8680392814475595;3;123456791
25;SWAP_IN;meanwaits;391.796863173186;385.3803566856399;398.21336966073216;40;0.0163771257267821;391.5650076137053;3;123456791
26;ActiveTime;cycleTime;6639.639547003947;6428.557057114484;6850.72203689341;40;0.0317912574011207;6630.261906963791;3;123456791
27;CPU;meanclients;1.487435500889546;1.4359805502145069;1.538890451564585;40;0.0345930634600739;1.4748741659982971;4;123456792
28;CPU;meanwaits;67.34694634964809;65.07924082644196;69.61465187285422;40;0.0336719873152493;6.653029723209239;4;123456792
29;IO1;meanclients;1.32051501132013;1.2994252963681732;1.341604726272087;40;0.0159708256030147;1.348646013508639;4;123456792
30;IO1;meanwaits;92.07693084047015;91.08835888749816;93.0655027934422;40;0.0107363695113251;93.59423771469142;4;123456792
31;IO2;meanclients;11.935635175293118;11.793314424556709;12.07795592602953;40;0.0119240198486475;11.87474874039573;4;123456792
32;IO2;meanwaits;2156.2043666139707;2126.824823604209;2185.5839096237323;40;0.0136255836713187;2142.638555798949;4;123456792
33;SWAP_IN;meanclients;0.8733233239896553;0.8481461369363276;0.898500511042983;40;0.0288291705508439;0.8680392814475595;4;123456792
34;SWAP_IN;meanwaits;395.29025958696286;386.438816853106;404.1417023208198;40;0.0223922611781675;391.5650076137053;4;123456792
35;ActiveTime;cycleTime;6414.847655033909;6111.579097450368;6718.11621261745;40;0.0472760342711424;6630.261906963791;4;123456792
36;CPU;meanclients;1.4540346164233302;1.412305190249317;1.4957640425973433;65;0.0286990596390752;1.4748741659982971;5;123456793
37;CPU;meanwaits;65.7825038330477;64.01983043115771;67.54517723493768;65;0.0267954744678547;6.653029723209239;5;123456793
38;IO1;meanclients;1.3325533530732292;1.3118330337786197;1.353273672367839;65;0.0155493356020777;1.348646013508639;5;123456793
39;IO1;meanwaits;92.77347996625372;91.6427517069493;93.90420822555814;65;0.0121880548160499;93.59423771469142;5;123456793
40;IO2;meanclients;11.917152521908054;11.800531523012548;12.03377352080356;65;0.0097859785448843;11.87474874039573;5;123456793
41;IO2;meanwaits;2156.793310045723;2133.660478736105;2179.926141355341;65;0.0107255670730579;2142.638555798949;5;123456793
42;SWAP_IN;meanclients;0.8646513730866294;0.8358309734803004;0.8934717726929584;65;0.0333318149989701;0.8680392814475595;5;123456793
43;SWAP_IN;meanwaits;390.3998907369253;379.9493931695256;400.8503883043251;65;0.0267687000313275;391.5650076137053;5;123456793
44;ActiveTime;cycleTime;6669.531033248335;6337.092356541557;7001.969709955113;65;0.0498443856171498;6630.261906963791;5;123456793
45;CPU;meanclients;1.4877894702401997;1.4491205978312536;1.5264583426491454;40;0.02599082274907;1.4748741659982971;6;123456794
46;CPU;meanwaits;66.51172472303926;64.96995085134907;68.05349859472946;40;0.0231804825105689;6.653029723209239;6;123456794
47;IO1;meanclients;1.38329965043156;1.3603401655616614;1.4062591353014586;40;0.0165976221151619;1.348646013508639;6;123456794
48;IO1;meanwaits;95.06844572869971;93.84483190629152;96.29205955110793;40;0.0128708722755399;93.59423771469142;6;123456794
49;IO2;meanclients;11.73982854398192;11.623845280449473;11.855811807514367;40;0.0098794682646283;11.87474874039573;6;123456794
50;IO2;meanwaits;2102.980010231716;2078.487554611551;2127.4724658518808;40;0.0116465470432438;2142.638555798949;6;123456794
51;SWAP_IN;meanclients;0.8966229380265096;0.875029264793542;0.9182166112594772;40;0.0240833379530706;0.8680392814475595;6;123456794
52;SWAP_IN;meanwaits;401.0228253481593;394.09509379609466;407.950556900224;40;0.017275155213547;391.5650076137053;6;123456794
53;ActiveTime;cycleTime;6559.640724336229;6254.963610215155;6864.317838457303;40;0.0464472258352082;6630.261906963791;6;123456794
54;CPU;meanclients;1.4692275876746752;1.4234824983143617;1.514972677034989;45;0.0311354685578112;1.4748741659982971;7;123456795
55;CPU;meanwaits;66.35572772051646;64.44544935190217;68.26600608913074;45;0.0287884472710506;6.653029723209239;7;123456795
56;IO1;meanclients;1.3438072082921737;1.31657422526166;1.3710401913226868;45;0.0202655431988071;1.348646013508639;7;123456795
57;IO1;meanwaits;93.3963325236953;91.94074038038116;94.85192466700944;45;0.0155851102926856;93.59423771469142;7;123456795
58;IO2;meanclients;11.82802059140171;11.677316165264749;11.978725017538672;45;0.0127413056962815;11.87474874039573;7;123456795
59;IO2;meanwaits;2139.68425409279;2109.263462855997;2170.105045329583;45;0.0142174207145769;2142.638555798949;7;123456795
60;SWAP_IN;meanclients;0.8825761871209216;0.856708509948386;0.9084438642934572;45;0.0293092851926124;0.8680392814475595;7;123456795
61;SWAP_IN;meanwaits;396.5588474637452;388.012740112957;405.10495481453336;45;0.0215506662011102;391.5650076137053;7;123456795
62;ActiveTime;cycleTime;6731.4046935642045;6401.757907201708;7061.051479926701;45;0.0489714704982255;6630.261906963791;7;123456795
63;CPU;meanclients;1.448990483998241;1.4135636281267896;1.4844173398696925;57;0.0244493364605798;1.4748741659982971;8;123456796
64;CPU;meanwaits;65.44764118818786;63.9607820814504;66.93450029492531;57;0.0227182993877831;6.653029723209239;8;123456796
65;IO1;meanclients;1.358471750721277;1.337655916117802;1.3792875853247513;57;0.0153229793644383;1.348646013508639;8;123456796
66;IO1;meanwaits;94.309689982024;93.04753157148264;95.57184839256534;57;0.0133831254326243;93.59423771469142;8;123456796
67;IO2;meanclients;11.81416645358322;11.717250709137806;11.911082198028636;57;0.0082033501750789;11.87474874039573;8;123456796
68;IO2;meanwaits;2141.636542602791;2119.862989185239;2163.410096020343;57;0.0101667827310651;2142.638555798949;8;123456796
69;SWAP_IN;meanclients;0.8802067208932859;0.8586256547943139;0.901787786992258;57;0.0245181791807613;0.8680392814475595;8;123456796
70;SWAP_IN;meanwaits;396.6800228782868;389.570356340866;403.7896894157075;57;0.0179229256009249;391.5650076137053;8;123456796
71;ActiveTime;cycleTime;6334.033591817048;6026.741819750379;6641.325363883716;57;0.0485143893874606;6630.261906963791;8;123456796
72;CPU;meanclients;1.46090883507171;1.4089161733486053;1.512901496794815;40;0.0355892581897848;1.4748741659982971;9;123456797
73;CPU;meanwaits;65.79608301977142;63.68121384830801;67.91095219123483;40;0.0321427822812476;6.653029723209239;9;123456797
74;IO1;meanclients;1.3584460813197778;1.3283317223041744;1.3885604403353813;40;0.0221682401898102;1.348646013508639;9;123456797
75;IO1;meanwaits;94.2104522003793;92.54609569907738;95.8748087016812;40;0.0176663678225632;93.59423771469142;9;123456797
76;IO2;meanclients;11.903361008229735;11.767612892902664;12.039109123556806;40;0.0114041836783087;11.87474874039573;9;123456797
77;IO2;meanwaits;2137.224340920526;2106.817917123873;2167.63076471718;40;0.0142270622762777;2142.638555798949;9;123456797
78;SWAP_IN;meanclients;0.8577460918541429;0.8357033922378924;0.8797887914703933;40;0.0256983970263297;0.8680392814475595;9;123456797
79;SWAP_IN;meanwaits;387.27176160355424;379.5361263781709;395.0073968289376;40;0.019974694755313;391.5650076137053;9;123456797
80;ActiveTime;cycleTime;6490.199969620339;6185.42359888214;6794.976340358538;40;0.0469594730770718;6630.261906963791;9;123456797
81;CPU;meanclients;1.4689120301202796;1.4339078088798605;1.5039162513606987;53;0.0238300323795106;1.4748741659982971;10;123456798
82;CPU;meanwaits;66.38069392345335;64.90740460370164;67.85398324320506;53;0.0221945453214247;6.653029723209239;10;123456798
83;IO1;meanclients;1.336810215883568;1.313807361428912;1.359813070338224;53;0.0172072700981361;1.348646013508639;10;123456798
84;IO1;meanwaits;92.92529373616571;91.53872842370107;94.31185904863034;53;0.0149212906057782;93.59423771469142;10;123456798
85;IO2;meanclients;11.916360179143489;11.81379661233138;12.018923745955597;53;0.0086069542435969;11.87474874039573;10;123456798
86;IO2;meanwaits;2152.7793433271904;2131.082093340956;2174.476593313425;53;0.0100787152447778;2142.638555798949;10;123456798
87;SWAP_IN;meanclients;0.8561094786889476;0.8329094977786675;0.8793094595992277;53;0.0270993155522687;0.8680392814475595;10;123456798
88;SWAP_IN;meanwaits;387.8276028331118;379.6749697507579;395.98023591546576;53;0.0210212811641004;391.5650076137053;10;123456798
89;ActiveTime;cycleTime;6399.957152004053;6089.14542910141;6710.768874906696;53;0.0485646568438848;6630.261906963791;10;123456798
90;CPU;meanclients;1.4289999881581854;1.3908539807545277;1.467145995561843;40;0.0266941971446925;1.4748741659982971;11;123456799
91;CPU;meanwaits;64.53197133199197;62.91659055907312;66.14735210491082;40;0.0250322551686566;6.653029723209239;11;123456799
92;IO1;meanclients;1.3401573878412172;1.3131648221833507;1.3671499534990836;40;0.0201413400416701;1.348646013508639;11;123456799
93;IO1;meanwaits;93.2542465561646;91.73126969918268;94.7772234131465;40;0.0163314477702059;93.59423771469142;11;123456799
94;IO2;meanclients;11.892959487620049;11.775043276442288;12.010875698797806;40;0.0099147912931599;11.87474874039573;11;123456799
95;IO2;meanwaits;2144.4539852280923;2118.861656489486;2170.0463139666986;40;0.0119341934659811;2142.638555798949;11;123456799
96;SWAP_IN;meanclients;0.8765111490091012;0.850027121720283;0.9029951762979194;40;0.030215277145942;0.8680392814475595;11;123456799
97;SWAP_IN;meanwaits;393.5493621410968;384.003219736696;403.0955045454976;40;0.0242565312581507;391.5650076137053;11;123456799
98;ActiveTime;cycleTime;6542.96890998473;6308.308768204941;6777.629051764519;40;0.0358644745234372;6630.261906963791;11;123456799
99;CPU;meanclients;1.4754501058420637;1.4291248905344245;1.521775321149703;40;0.031397344528435;1.4748741659982971;12;123456800
100;CPU;meanwaits;66.45571002705287;64.48468945508085;68.42673059902489;40;0.0296591605321748;6.653029723209239;12;123456800
101;IO1;meanclients;1.3427178403029458;1.3178481222289378;1.367587558376954;40;0.0185219242103738;1.348646013508639;12;123456800
102;IO1;meanwaits;93.13306731415678;91.92572193116932;94.34041269714422;40;0.012963659608835;93.59423771469142;12;123456800
103;IO2;meanclients;11.797872720337068;11.690012364085732;11.905733076588405;40;0.0091423563220347;11.87474874039573;12;123456800
104;IO2;meanwaits;2127.31257293134;2103.4251067307623;2151.200039131918;40;0.0112289404502799;2142.638555798949;12;123456800
105;SWAP_IN;meanclients;0.8892833538504002;0.867689867780012;0.9108768399207884;40;0.0242818961772907;0.8680392814475595;12;123456800
106;SWAP_IN;meanwaits;397.1887313788629;389.3532804935237;405.0241822642022;40;0.0197272738784356;391.5650076137053;12;123456800
107;ActiveTime;cycleTime;6583.1955164126;6302.259588857288;6864.131443967913;40;0.0426747051420407;6630.261906963791;12;123456800
108;CPU;meanclients;1.433545613181508;1.3956769557055873;1.4714142706574285;44;0.0264160813075752;1.4748741659982971;13;123456801
109;CPU;meanwaits;64.8128534788298;63.30078630742639;66.3249206502332;44;0.023329742331084;6.653029723209239;13;123456801
110;IO1;meanclients;1.3261230427278514;1.3049877970932386;1.3472582883624642;44;0.0159376203818443;1.348646013508639;13;123456801
111;IO1;meanwaits;92.328247518409;91.09066086824012;93.56583416857792;44;0.013404203842623;93.59423771469142;13;123456801
112;IO2;meanclients;11.960918432894816;11.865207850045971;12.05662901574366;44;0.0080019426088235;11.87474874039573;13;123456801
113;IO2;meanwaits;2151.689014753764;2128.748726660481;2174.6293028470463;44;0.0106615258692055;2142.638555798949;13;123456801
114;SWAP_IN;meanclients;0.8655662438792687;0.8391456067038896;0.8919868810546479;44;0.0305241076141877;0.8680392814475595;13;123456801
115;SWAP_IN;meanwaits;394.1035007580336;384.4879096027963;403.71909191327086;44;0.024398644357998;391.5650076137053;13;123456801
116;ActiveTime;cycleTime;6742.357662196399;6408.21588727394;7076.499437118859;44;0.0495585953257793;6630.261906963791;13;123456801
117;CPU;meanclients;1.4485622785911176;1.4033917539518777;1.4937328032303576;40;0.0311830049055074;1.4748741659982971;14;123456802
118;CPU;meanwaits;65.58219082181068;63.57336091446933;67.59102072915204;40;0.0306307227948426;6.653029723209239;14;123456802
119;IO1;meanclients;1.314528427696403;1.2978286953352758;1.3312281600575309;40;0.0127039720170923;1.348646013508639;14;123456802
120;IO1;meanwaits;91.64906112606236;90.63459103261393;92.6635312195108;40;0.0110690724049322;93.59423771469142;14;123456802
121;IO2;meanclients;11.937296165232748;11.854426141483591;12.020166188981904;40;0.0069421100559198;11.87474874039573;14;123456802
122;IO2;meanwaits;2160.1918906530877;2141.0350611144686;2179.348720191706;40;0.0088681147362456;2142.638555798949;14;123456802
123;SWAP_IN;meanclients;0.8722417806206749;0.8520596613301231;0.8924238999112267;40;0.0231382166492764;0.8680392814475595;14;123456802
124;SWAP_IN;meanwaits;393.1344347825708;385.6783737990663;400.5904957660753;40;0.0189656777016448;391.5650076137053;14;123456802
125;ActiveTime;cycleTime;6502.772937434605;6271.530989234159;6734.014885635052;40;0.0355605140184508;6630.261906963791;14;123456802
126;CPU;meanclients;1.439337383359932;1.4087061084506325;1.4699686582692313;40;0.0212815113839362;1.4748741659982971;15;123456803
127;CPU;meanwaits;64.99676228654552;63.6788959288094;66.31462864428164;40;0.0202758770033214;6.653029723209239;15;123456803
128;IO1;meanclients;1.357973863872264;1.3313255350155964;1.3846221927289315;40;0.0196235948022445;1.348646013508639;15;123456803
129;IO1;meanwaits;94.31249971409284;92.77780643813315;95.84719299005256;40;0.0162724270972787;93.59423771469142;15;123456803
130;IO2;meanclients;11.930246258248117;11.812329739200768;12.048162777295463;40;0.0098838294277307;11.87474874039573;15;123456803
131;IO2;meanwaits;2153.602359543888;2126.172636701682;2181.0320823860925;40;0.0127366701288414;2142.638555798949;15;123456803
132;SWAP_IN;meanclients;0.8637518640496256;0.8350495474800892;0.8924541806191619;40;0.0332298172243218;0.8680392814475595;15;123456803
133;SWAP_IN;meanwaits;391.4545728644308;381.0477648690618;401.8613808597997;40;0.0265849697941147;391.5650076137053;15;123456803
134;ActiveTime;cycleTime;6504.799015307361;6188.244022637111;6821.35400797761;40;0.0486648383640016;6630.261906963791;15;123456803
135;CPU;meanclients;1.4612639836866923;1.4129573455633906;1.5095706218099945;40;0.0330581186305754;1.4748741659982971;16;123456804
136;CPU;meanwaits;65.72491924571348;63.63094253830688;67.81889595312008;40;0.0318597075726823;6.653029723209239;16;123456804
137;IO1;meanclients;1.3673250608210594;1.3356979350995482;1.3989521865425707;40;0.0231306560727553;1.348646013508639;16;123456804
