;Station;Measure;R;LB;HB;Samples;Precision;Expected;Simulation;Seed
0;CPU;meanclients;1.5228874209132055;1.4896568437075588;1.5561179981188522;74;0.0218207706947372;1.4748741659982971;1;123456789
1;CPU;meanwaits;6.793821670664168;6.675291348598444;6.912351992729893;74;0.0174467814746361;6.653029723209239;1;123456789
2;IO1;meanclients;1.3765709363109555;1.3464335119229125;1.4067083606989992;74;0.0218931139638965;1.348646013508639;1;123456789
3;IO1;meanwaits;94.44603174842958;92.96670806300249;95.92535543385668;74;0.0156631640106117;93.59423771469142;1;123456789
4;IO2;meanclients;12.628116251915356;12.526883148731628;12.729349355099082;74;0.0080164848948371;11.87474874039573;1;123456789
5;IO2;meanwaits;2256.5352832840517;2234.1779764858;2278.892590082303;74;0.0099078028887338;2142.638555798949;1;123456789
6;SWAP_IN;meanclients;0.0;0.0;0.0;74;;0.8680392814475595;1;123456789
7;SWAP_IN;meanwaits;0.0;0.0;0.0;74;;391.5650076137053;1;123456789
8;ActiveTime;cycleTime;6861.390003040533;6518.658020333135;7204.121985747931;74;0.0499508091735816;6630.261906963791;1;123456789
9;CPU;meanclients;1.475951473049448;1.4465751972807908;1.5053277488181054;60;0.0199032802263907;1.4748741659982971;2;123456790
10;CPU;meanwaits;6.708539489369639;6.6023398322816345;6.814739146457643;60;0.0158305182903503;6.653029723209239;2;123456790
11;IO1;meanclients;1.3284897160378446;1.3001380157280158;1.3568414163476734;60;0.0213413020571859;1.348646013508639;2;123456790
12;IO1;meanwaits;93.0269300609737;91.56827823562818;94.4855818863192;60;0.0156798877958183;93.59423771469142;2;123456790
13;IO2;meanclients;12.827914888545711;12.701380818573044;12.954448958518384;60;0.0098639623876563;11.87474874039573;2;123456790
14;IO2;meanwaits;2320.4119456662406;2290.5260389719583;2350.297852360523;60;0.0128795694015018;2142.638555798949;2;123456790
15;SWAP_IN;meanclients;0.0;0.0;0.0;60;;0.8680392814475595;2;123456790
16;SWAP_IN;meanwaits;0.0;0.0;0.0;60;;391.5650076137053;2;123456790
17;ActiveTime;cycleTime;7268.76010590915;6906.751549785087;7630.768662033213;60;0.0498033434656575;6630.261906963791;2;123456790
18;CPU;meanclients;1.492175787786216;1.4596805788119545;1.5246709967604777;50;0.0217770649009599;1.4748741659982971;3;123456791
19;CPU;meanwaits;6.693034694479243;6.575483101740266;6.81058628721822;50;0.0175632725818588;6.653029723209239;3;123456791
20;IO1;meanclients;1.374273545333799;1.343490560558013;1.4050565301095852;50;0.0223994596129035;1.348646013508639;3;123456791
21;IO1;meanwaits;94.80840682510885;93.2633680657978;96.35344558441986;50;0.0162964320470138;93.59423771469142;3;123456791
22;IO2;meanclients;12.62645229931029;12.487553821254323;12.765350777366258;50;0.0110005942099471;11.87474874039573;3;123456791
23;IO2;meanwaits;2267.34281734791;2233.6286663384226;2301.0569683573976;50;0.0148694545666113;2142.638555798949;3;123456791
24;SWAP_IN;meanclients;0.0;0.0;0.0;50;;0.8680392814475595;3;123456791
25;SWAP_IN;meanwaits;0.0;0.0;0.0;50;;391.5650076137053;3;123456791
26;ActiveTime;cycleTime;6669.256648476378;6335.862517286299;7002.650779666457;50;0.0499896988169205;6630.261906963791;3;123456791
27;CPU;meanclients;1.4871076991374554;1.45069826070293;1.523517137571981;59;0.0244833904468678;1.4748741659982971;4;123456792
28;CPU;meanwaits;6.730303640339275;6.597354727070491;6.863252553608059;59;0.0197537764079365;6.653029723209239;4;123456792
29;IO1;meanclients;1.3319197064210275;1.302144399152972;1.3616950136890835;59;0.0223551818660783;1.348646013508639;4;123456792
30;IO1;meanwaits;92.84437454333693;91.3348612109996;94.35388787567425;59;0.0162585330534239;93.59423771469142;4;123456792
31;IO2;meanclients;12.802138176389647;12.666813971066144;12.937462381713154;59;0.0105704378017943;11.87474874039573;4;123456792
32;IO2;meanwaits;2310.62653891121;2279.1334859603426;2342.1195918620774;59;0.0136296594973358;2142.638555798949;4;123456792
33;SWAP_IN;meanclients;0.0;0.0;0.0;59;;0.8680392814475595;4;123456792
34;SWAP_IN;meanwaits;0.0;0.0;0.0;59;;391.5650076137053;4;123456792
35;ActiveTime;cycleTime;7077.362762972861;6731.728047814579;7422.997478131142;59;0.0488366538121463;6630.261906963791;4;123456792
36;CPU;meanclients;1.4805729495912343;1.4443532569413815;1.5167926422410871;52;0.0244632948750364;1.4748741659982971;5;123456793
37;CPU;meanwaits;6.687558719536507;6.55558111982665;6.819536319246365;52;0.0197347948997154;6.653029723209239;5;123456793
38;IO1;meanclients;1.3420074712586798;1.311837304662646;1.3721776378547137;52;0.0224813700684816;1.348646013508639;5;123456793
39;IO1;meanwaits;93.16943447557946;91.55660073891836;94.78226821224057;52;0.0173107601837363;93.59423771469142;5;123456793
40;IO2;meanclients;12.73263512385426;12.607329772007478;12.857940475701042;52;0.0098412740668288;11.87474874039573;5;123456793
41;IO2;meanwaits;2303.1997478303806;2271.0413255503904;2335.358170110371;52;0.0139624981768443;2142.638555798949;5;123456793
42;SWAP_IN;meanclients;0.0;0.0;0.0;52;;0.8680392814475595;5;123456793
43;SWAP_IN;meanwaits;0.0;0.0;0.0;52;;391.5650076137053;5;123456793
44;ActiveTime;cycleTime;6883.922812297718;6539.837022061325;7228.008602534112;52;0.0499839698408157;6630.261906963791;5;123456793
45;CPU;meanclients;1.5279916599006305;1.4939163975027765;1.5620669222984849;91;0.0223006861176651;1.4748741659982971;6;123456794
46;CPU;meanwaits;6.826293498476578;6.708634779614519;6.943952217338636;91;0.0172361060784036;6.653029723209239;6;123456794
47;IO1;meanclients;1.387579873227208;1.3599210947113167;1.4152386517430993;91;0.0199331073111942;1.348646013508639;6;123456794
48;IO1;meanwaits;95.32407891726714;93.89096344552156;96.75719438901274;91;0.0150341392020102;93.59423771469142;6;123456794
49;IO2;meanclients;12.582797182693206;12.469380075232712;12.6962142901537;91;0.0090136641172673;11.87474874039573;6;123456794
50;IO2;meanwaits;2251.043948636537;2225.1637760072254;2276.924121265849;91;0.0114969646172333;2142.638555798949;6;123456794
51;SWAP_IN;meanclients;0.0;0.0;0.0;91;;0.8680392814475595;6;123456794
52;SWAP_IN;meanwaits;0.0;0.0;0.0;91;;391.5650076137053;6;123456794
53;ActiveTime;cycleTime;6835.121698592732;6499.909020484232;7170.334376701232;91;0.0490426788125098;6630.261906963791;6;123456794
54;CPU;meanclients;1.5036623531935296;1.4702970854235138;1.5370276209635454;84;0.0221893350586011;1.4748741659982971;7;123456795
55;CPU;meanwaits;6.781462882821411;6.6654461868554495;6.897479578787373;84;0.017107915794961;6.653029723209239;7;123456795
56;IO1;meanclients;1.3705574990074465;1.3390523467372142;1.4020626512776784;84;0.0229871072852091;1.348646013508639;7;123456795
57;IO1;meanwaits;95.12397016603936;93.46332225839863;96.78461807368008;84;0.0174577228509497;93.59423771469142;7;123456795
58;IO2;meanclients;12.61724695129516;12.497114487864204;12.737379414726115;84;0.0095212896993051;11.87474874039573;7;123456795
59;IO2;meanwaits;2279.524519624523;2249.488000955643;2309.5610382934024;84;0.0131766596104994;2142.638555798949;7;123456795
60;SWAP_IN;meanclients;0.0;0.0;0.0;84;;0.8680392814475595;7;123456795
61;SWAP_IN;meanwaits;0.0;0.0;0.0;84;;391.5650076137053;7;123456795
62;ActiveTime;cycleTime;6958.14160477217;6611.918816940538;7304.364392603801;84;0.0497579393316999;6630.261906963791;7;123456795
63;CPU;meanclients;1.50703440055217;1.459176387184876;1.5548924139194638;40;0.0317564173384224;1.4748741659982971;8;123456796
64;CPU;meanwaits;6.789087219607424;6.61935940648012;6.958815032734728;40;0.0250000931844145;6.653029723209239;8;123456796
65;IO1;meanclients;1.3736826614397328;1.3438225814974645;1.4035427413820012;40;0.0217372474593021;1.348646013508639;8;123456796
66;IO1;meanwaits;95.06908285375206;93.65291187698642;96.4852538305177;40;0.0148962305541979;93.59423771469142;8;123456796
67;IO2;meanclients;12.592405612132136;12.455970432415782;12.728840791848487;40;0.010834719268009;11.87474874039573;8;123456796
68;IO2;meanwaits;2281.4597541813423;2245.095817863227;2317.823690499458;40;0.015938890112556;2142.638555798949;8;123456796
69;SWAP_IN;meanclients;0.0;0.0;0.0;40;;0.8680392814475595;8;123456796
70;SWAP_IN;meanwaits;0.0;0.0;0.0;40;;391.5650076137053;8;123456796
71;ActiveTime;cycleTime;7058.088661722913;6724.360440158837;7391.816883286988;40;0.0472830871867526;6630.261906963791;8;123456796
72;CPU;meanclients;1.5159012095486109;1.4806857903199724;1.551116628777249;50;0.0232306821887982;1.4748741659982971;9;123456797
73;CPU;meanwaits;6.8101473240736725;6.688160664121236;6.932133984026109;50;0.0179124847301346;6.653029723209239;9;123456797
74;IO1;meanclients;1.374368475942468;1.3350535868054665;1.4136833650794698;50;0.0286057850024839;1.348646013508639;9;123456797
75;IO1;meanwaits;94.99443541922136;92.84484468724057;97.14402615120216;50;0.022628596322452;93.59423771469142;9;123456797
76;IO2;meanclients;12.667602447330829;12.548563631022644;12.786641263639009;50;0.0093971070534554;11.87474874039573;9;123456797
77;IO2;meanwaits;2273.677746545658;2244.3770966261004;2302.978396465216;50;0.0128868965551839;2142.638555798949;9;123456797
78;SWAP_IN;meanclients;0.0;0.0;0.0;50;;0.8680392814475595;9;123456797
79;SWAP_IN;meanwaits;0.0;0.0;0.0;50;;391.5650076137053;9;123456797
80;ActiveTime;cycleTime;6859.046357500435;6517.396853689431;7200.695861311439;50;0.0498100590087726;6630.261906963791;9;123456797
