;Station;Measure;R;LB;HB;Samples;Precision;Expected;Simulation;Seed
0;CPU;meanclients;1.3809888976774711;1.357081308018119;1.4048964873368233;40;0.0173119347299312;1.4748741659982971;1;123456789
1;CPU;meanwaits;6.283038588204219;6.210026072594839;6.356051103813599;40;0.0116205741194162;6.653029723209239;1;123456789
2;IO1;meanclients;1.266341728725195;1.242252120248147;1.2904313372022431;40;0.0190229919228034;1.348646013508639;1;123456789
3;IO1;meanwaits;88.6089027740993;87.43020255518748;89.78760299301113;40;0.013302277559139;93.59423771469142;1;123456789
4;IO2;meanclients;6.499824847771683;6.424873716415687;6.57477597912768;40;0.0115312540124357;11.87474874039573;1;123456789
5;IO2;meanwaits;1183.074429340757;1166.031237716882;1200.117620964632;40;0.014405849032991;2142.638555798949;1;123456789
6;SWAP_IN;meanclients;0.841091367297548;0.808006953659683;0.8741757809354129;40;0.0393351007086973;0.8680392814475595;1;123456789
7;SWAP_IN;meanwaits;383.3011921428958;372.6822688673057;393.92011541848586;40;0.0277038618539733;391.5650076137053;1;123456789
8;ActiveTime;cycleTime;4169.857131163887;4035.050667844723;4304.6635944830505;40;0.0323287966658792;6630.261906963791;1;123456789
9;CPU;meanclients;1.346875736873319;1.334086745171048;1.3596647285755905;40;0.0094953018694657;1.4748741659982971;2;123456790
10;CPU;meanwaits;6.2021333934442415;6.163212482549916;6.241054304338569;40;0.0062754069326316;6.653029723209239;2;123456790
11;IO1;meanclients;1.2395455627245218;1.2240262074893322;1.255064917959711;40;0.0125201974835663;1.348646013508639;2;123456790
12;IO1;meanwaits;87.8962848567632;87.17639022289632;88.61617949063009;40;0.0081902737418314;93.59423771469142;2;123456790
13;IO2;meanclients;6.590189804521246;6.559697766360388;6.620681842682104;40;0.0046268831498508;11.87474874039573;2;123456790
14;IO2;meanwaits;1210.9591607221712;1202.716651192195;1219.201670252147;40;0.0068065957939164;2142.638555798949;2;123456790
15;SWAP_IN;meanclients;0.8094429162803464;0.7988549806344047;0.820030851926288;40;0.0130805217180683;0.8680392814475595;2;123456790
16;SWAP_IN;meanwaits;372.6929417813833;368.3020765281168;377.0838070346498;40;0.0117814553510973;391.5650076137053;2;123456790
17;ActiveTime;cycleTime;4354.29600983518;4156.268956121657;4552.323063548703;40;0.0454785465357047;6630.261906963791;2;123456790
18;CPU;meanclients;1.3780783581586202;1.3624286522227036;1.3937280640945369;40;0.0113561800337883;1.4748741659982971;3;123456791
19;CPU;meanwaits;6.284349714384494;6.234519868556661;6.334179560212328;40;0.0079291968290332;6.653029723209239;3;123456791
20;IO1;meanclients;1.2616160673780157;1.245494610752978;1.2777375240030533;40;0.0127784173346353;1.348646013508639;3;123456791
21;IO1;meanwaits;88.59442146316535;87.69141838646303;89.49742453986767;40;0.0101925500701841;93.59423771469142;3;123456791
